filename,label
image_0001.jpg,MANGROVE SKIPPER
image_0002.jpg,GREAT JAY
image_0003.jpg,SLEEPY ORANGE
image_0004.jpg,CLEOPATRA
image_0005.jpg,PAINTED LADY
image_0006.jpg,EASTERN PINE ELFIN
image_0007.jpg,TROPICAL LEAFWING
image_0008.jpg,EASTERN COMA
image_0009.jpg,CHECQUERED SKIPPER
image_0010.jpg,VICEROY
image_0011.jpg,GREAT EGGFLY
image_0012.jpg,PAPER KITE
image_0013.jpg,BLUE SPOTTED CROW
image_0014.jpg,EASTERN PINE ELFIN
image_0015.jpg,PINE WHITE
image_0016.jpg,BECKERS WHITE
image_0017.jpg,MILBERTS TORTOISESHELL
image_0018.jpg,ULYSES
image_0019.jpg,MOURNING CLOAK
image_0020.jpg,BANDED PEACOCK
image_0021.jpg,WOOD SATYR
image_0022.jpg,LARGE MARBLE
image_0023.jpg,TWO BARRED FLASHER
image_0024.jpg,ELBOWED PIERROT
image_0025.jpg,ORCHARD SWALLOW
image_0026.jpg,APPOLLO
image_0027.jpg,BECKERS WHITE
image_0028.jpg,ULYSES
image_0029.jpg,METALMARK
image_0030.jpg,RED SPOTTED PURPLE
image_0031.jpg,BROWN SIPROETA
image_0032.jpg,CABBAGE WHITE
image_0033.jpg,RED ADMIRAL
image_0034.jpg,PURPLISH COPPER
image_0035.jpg,AN 88
image_0036.jpg,GREAT EGGFLY
image_0037.jpg,TROPICAL LEAFWING
image_0038.jpg,MANGROVE SKIPPER
image_0039.jpg,ZEBRA LONG WING
image_0040.jpg,BECKERS WHITE
image_0041.jpg,BLACK HAIRSTREAK
image_0042.jpg,CRECENT
image_0043.jpg,RED POSTMAN
image_0044.jpg,RED POSTMAN
image_0045.jpg,PAPER KITE
image_0046.jpg,STRAITED QUEEN
image_0047.jpg,MILBERTS TORTOISESHELL
image_0048.jpg,PURPLISH COPPER
image_0049.jpg,CLODIUS PARNASSIAN
image_0050.jpg,AN 88
image_0051.jpg,ADONIS
image_0052.jpg,PAINTED LADY
image_0053.jpg,DANAID EGGFLY
image_0054.jpg,INDRA SWALLOW
image_0055.jpg,AFRICAN GIANT SWALLOWTAIL
image_0056.jpg,TROPICAL LEAFWING
image_0057.jpg,AMERICAN SNOOT
image_0058.jpg,DANAID EGGFLY
image_0059.jpg,CHESTNUT
image_0060.jpg,TWO BARRED FLASHER
image_0061.jpg,BANDED PEACOCK
image_0062.jpg,ORANGE TIP
image_0063.jpg,SOOTYWING
image_0064.jpg,JULIA
image_0065.jpg,ORANGE TIP
image_0066.jpg,EASTERN PINE ELFIN
image_0067.jpg,PEACOCK
image_0068.jpg,APPOLLO
image_0069.jpg,INDRA SWALLOW
image_0070.jpg,ORANGE OAKLEAF
image_0071.jpg,AN 88
image_0072.jpg,STRAITED QUEEN
image_0073.jpg,COPPER TAIL
image_0074.jpg,POPINJAY
image_0075.jpg,CHECQUERED SKIPPER
image_0076.jpg,PAINTED LADY
image_0077.jpg,GREEN CELLED CATTLEHEART
image_0078.jpg,ORCHARD SWALLOW
image_0079.jpg,SILVER SPOT SKIPPER
image_0080.jpg,CHESTNUT
image_0081.jpg,RED ADMIRAL
image_0082.jpg,CABBAGE WHITE
image_0083.jpg,GREAT JAY
image_0084.jpg,ZEBRA LONG WING
image_0085.jpg,MOURNING CLOAK
image_0086.jpg,ORANGE OAKLEAF
image_0087.jpg,PAPER KITE
image_0088.jpg,CLODIUS PARNASSIAN
image_0089.jpg,EASTERN PINE ELFIN
image_0090.jpg,SILVER SPOT SKIPPER
image_0091.jpg,SLEEPY ORANGE
image_0092.jpg,WOOD SATYR
image_0093.jpg,INDRA SWALLOW
image_0094.jpg,PIPEVINE SWALLOW
image_0095.jpg,CRIMSON PATCH
image_0096.jpg,EASTERN COMA
